ShipmentId,ShipmentName,ShipmentStatus,DestinationFC,ShipFrom,SellerSKU,FNSKU,QuantityShipped,QuantityReceived,QuantityInCase
FBA15M8BT59Z,FBA STA (26/08/2026 06:49)-DEL4,IN_TRANSIT,DEL4,"Bhiwandi, Maharashtra",FBA79993,X002IKJF09,20,0,0
FBA15M8G2V3S,FBA STA (26/08/2026 06:51)-DEL4,IN_TRANSIT,DEL4,"Bhiwandi, Maharashtra",FBA79993,X002IKJF09,20,0,0
FBA15M83RHZL,FBA STA (26/08/2026 06:53)-BLR7,IN_TRANSIT,BLR7,"Bhiwandi, Maharashtra",FBA79993,X002IKJF09,20,0,0
FBA15M879BQ1,FBA STA (26/08/2026 06:55)-BLR7,IN_TRANSIT,BLR7,"Bhiwandi, Maharashtra",FBA79993,X002IKJF09,20,0,0
FBA15M8GYZBV,FBA STA (26/08/2026 06:56)-BLR7,IN_TRANSIT,BLR7,"Bhiwandi, Maharashtra",FBA79993,X002IKJF09,20,0,0
FBA15M83SGXZ,FBA STA (26/08/2026 06:57)-HYD3,IN_TRANSIT,HYD3,"Bhiwandi, Maharashtra",FBA79993,X002IKJF09,20,0,0
FBA15M8D0NRG,FBA STA (26/08/2026 06:59)-HYD3,IN_TRANSIT,HYD3,"Bhiwandi, Maharashtra",FBA79993,X002IKJF09,20,0,0
FBA15M879S3J,FBA STA (26/08/2026 07:00)-HYD3,IN_TRANSIT,HYD3,"Bhiwandi, Maharashtra",FBA79993,X002IKJF09,20,0,0
FBA15M8G49F9,FBA STA (26/08/2026 07:01)-CCX1,IN_TRANSIT,CCX1,"Bhiwandi, Maharashtra",FBA79567,X0026FJYJD,24,0,0
FBA15M8G49F9,FBA STA (26/08/2026 07:01)-CCX1,IN_TRANSIT,CCX1,"Bhiwandi, Maharashtra",FBA79971,X002HNG2AD,30,0,0
FBA15M8FYBQH,FBA STA (26/08/2026 07:14)-BLR7,IN_TRANSIT,BLR7,"Bhiwandi, Maharashtra",FBA79567,X0026FJYJD,40,0,0
FBA15M8FYBQH,FBA STA (26/08/2026 07:14)-BLR7,IN_TRANSIT,BLR7,"Bhiwandi, Maharashtra",FBA79971,X002HNG2AD,80,0,0
FBA15M8BV4XC,FBA STA (26/08/2026 07:17)-BLR7,IN_TRANSIT,BLR7,"Bhiwandi, Maharashtra",FBA79567,X0026FJYJD,40,0,0
FBA15M8BV4XC,FBA STA (26/08/2026 07:17)-BLR7,IN_TRANSIT,BLR7,"Bhiwandi, Maharashtra",FBA79971,X002HNG2AD,80,0,0
FBA15M87BH7Z,FBA STA (26/08/2026 07:30)-MAA4,WORKING,MAA4,"Bhiwandi, Maharashtra",FBA79993,X002IKJF09,15,0,0
FBA15M8H2LQ2,FBA STA (26/08/2026 07:31)-MAA4,WORKING,MAA4,"Bhiwandi, Maharashtra",FBA79993,X002IKJF09,15,0,0
FBA15M8D2M8L,FBA STA (26/08/2026 07:32)-MAA4,WORKING,MAA4,"Bhiwandi, Maharashtra",FBA79993,X002IKJF09,15,0,0
FBA15M8FZSP1,FBA STA (26/08/2026 07:33)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, Maharashtra",FBA79439,X0023KW3JJ,320,0,0
FBA15M8FZSP1,FBA STA (26/08/2026 07:33)-ISK3,IN_TRANSIT,ISK3,"Bhiwandi, Maharashtra",FBA79573,X0025R5BTT,150,0,0
FBA15M8D3P85,FBA STA (26/08/2026 07:44)-BLR7,IN_TRANSIT,BLR7,"Bhiwandi, Maharashtra",FBA79679,X002876EAV,40,0,0
FBA15M8D3QKT,FBA STA (26/08/2026 07:47)-BLR7,IN_TRANSIT,BLR7,"Bhiwandi, Maharashtra",FBA79679,X002876EAV,40,0,0
